Bank_Name,Year,Quarter,Capital_Adequacy_Ratio,Non_Performing_Loans_Ratio,Liquidity_Coverage_Ratio,Return_on_Assets,Loan_to_Deposit_Ratio,Net_Interest_Margin,Operational_Efficiency_Ratio,Went_Defunct
Central Valley Trust,2019,3,7.82,1.71,118.95,2.44,91.06,3.19,71.42,No
United River Bancorp,2019,3,12.34,2.45,123.28,2.61,65.78,3.41,37.69,No
Central State Credit,2019,3,11.43,1.36,120.88,1.84,81.32,2.56,32.69,No
Metropolitan Valley Financial,2019,3,9.29,2.99,110.3,2.2,67.05,3.41,47.69,No
Metropolitan State Bank,2019,3,17.53,3.9,116.85,1.77,101.32,2.46,49.45,No
Community America Bancorp,2019,3,12.04,2.0,102.61,2.25,60.3,3.72,35.44,No
Regional State Credit,2019,3,6.12,0.35,48.46,-1.84,89.53,1.73,79.59,Yes
Regional River Financial,2019,3,14.58,1.62,126.06,1.64,62.07,2.09,53.36,No
National Valley Trust,2019,3,12.52,2.78,122.15,3.01,71.76,3.5,46.76,No
Metropolitan Valley Bancorp,2019,3,10.18,2.72,119.11,2.42,73.53,2.6,60.74,No
National State Trust,2019,3,10.26,2.63,132.82,1.81,81.56,3.2,58.52,No
Community Valley Financial,2019,3,10.33,2.21,105.92,2.86,49.86,2.82,40.68,No
Central State Trust,2019,3,7.35,12.77,76.55,1.96,79.33,0.35,71.07,Yes
Community Valley Bank,2019,3,12.24,0.97,112.48,2.31,57.61,2.43,46.01,No
Metropolitan America Financial,2019,3,11.39,3.01,110.99,1.64,75.82,3.4,64.29,No
Community America Bancorp,2019,3,12.94,2.13,125.75,1.87,67.25,2.11,58.93,No
Central Coast Bank,2019,3,6.42,9.33,41.84,-1.05,87.16,1.75,86.14,Yes
National Mountain Credit,2019,3,12.47,1.57,123.97,1.54,69.0,2.71,72.66,No
First Coast Credit,2019,3,8.94,10.19,55.1,-0.14,102.82,1.61,83.22,Yes
First State Credit,2019,3,11.99,2.23,101.94,1.62,73.73,3.57,44.5,No
Central America Bancorp,2019,3,11.92,0.4,134.59,2.56,76.52,3.2,65.53,No
United State Credit,2019,3,10.39,1.09,130.62,2.5,58.07,2.73,66.89,No
Central Valley Bank,2019,3,12.82,2.79,108.41,2.33,55.8,2.01,57.27,No
Metropolitan America Bank,2019,3,14.87,1.75,114.53,2.86,68.05,2.97,66.94,No
United Coast Bancorp,2019,3,11.29,1.35,128.16,1.64,68.55,2.34,51.85,No
Regional River Credit,2019,3,6.14,9.9,78.57,-0.45,105.91,0.96,86.1,Yes
Central State Bancorp,2019,3,9.78,0.0,131.62,2.34,68.73,3.54,42.69,No
Central Valley Financial,2019,3,10.59,1.16,125.68,1.21,62.33,3.14,37.96,No
Central State Bancorp,2019,4,10.68,0.0,126.06,1.66,59.01,2.35,45.82,No
Regional State Credit,2019,4,2.84,12.83,46.15,-1.45,101.6,0.61,82.12,Yes
Community Plains Trust,2019,4,10.4,3.53,108.81,0.82,57.02,3.19,48.82,No
First Mountain Credit,2019,4,7.5,8.51,63.64,-1.49,94.22,1.94,86.91,Yes
First America Bank,2019,4,15.78,2.84,119.36,1.49,72.02,2.97,49.06,No
Community Coast Bancorp,2019,4,11.58,0.0,132.61,1.97,55.86,3.24,41.44,No
National State Trust,2019,4,13.12,2.88,130.2,1.92,65.86,2.69,42.77,No
National America Bank,2019,4,11.97,1.79,111.75,1.43,68.91,2.78,38.59,No
United Coast Bancorp,2019,4,13.66,3.77,129.63,1.64,69.5,3.77,38.26,No
First Plains Financial,2019,4,13.57,0.55,136.84,1.78,92.29,3.86,48.94,No
Regional Coast Financial,2019,4,10.56,2.19,118.2,1.8,53.42,2.74,38.9,No
United Plains Credit,2019,4,13.1,2.99,127.41,2.17,61.47,3.1,57.93,No
National America Credit,2019,4,10.83,2.12,118.55,2.83,78.52,3.3,32.83,No
Regional Coast Trust,2019,4,12.35,1.84,118.36,1.22,59.12,2.97,61.14,No
Community Valley Bank,2019,4,4.82,5.8,87.81,-1.3,98.07,0.94,66.54,Yes
Central Valley Trust,2019,4,13.14,1.35,119.7,2.22,89.43,2.34,58.65,No
Community Valley Financial,2019,4,13.74,1.36,126.0,2.82,62.35,3.12,54.05,No
United Mountain Credit,2019,4,13.07,2.77,121.66,2.26,60.89,3.08,45.24,No
United Coast Credit,2019,4,9.54,1.49,122.69,2.22,57.32,2.53,57.25,No
First America Trust,2019,4,13.02,2.89,133.68,2.27,65.85,3.06,66.6,No
First Mountain Credit,2019,4,11.53,8.39,75.36,-0.27,100.36,1.58,90.08,Yes
Metropolitan Coast Bancorp,2019,4,12.71,1.68,104.79,2.37,72.13,2.63,38.7,No
Community Coast Bancorp,2019,4,13.32,0.4,123.0,2.42,75.5,2.8,37.51,No
Central River Credit,2019,4,13.17,3.2,114.27,2.25,85.82,3.17,46.03,No
Regional Valley Financial,2019,4,14.08,1.26,107.02,2.41,65.94,2.84,43.73,No
Regional Mountain Credit,2019,4,11.05,3.4,136.62,2.9,80.9,3.23,35.68,No
United Coast Trust,2019,4,11.62,4.16,115.64,2.76,70.55,1.66,56.4,No
Community River Financial,2019,4,14.53,1.95,132.33,1.17,56.14,3.1,54.77,No
Community Mountain Financial,2019,4,14.71,2.64,108.06,2.11,76.01,2.06,49.56,No
First River Financial,2019,4,5.33,5.04,74.99,-2.15,106.25,1.28,90.84,Yes
National River Bancorp,2019,4,9.75,0.49,122.79,1.86,99.03,3.23,50.58,No
First America Bank,2019,4,11.65,0.78,125.64,1.96,69.22,3.05,52.21,No
Regional Plains Financial,2019,4,8.52,2.84,111.54,1.93,82.86,3.89,33.0,No
United Plains Credit,2019,4,6.06,7.82,54.92,-0.2,101.74,1.1,70.82,Yes
United State Trust,2019,4,12.83,2.84,121.27,1.74,65.64,3.11,50.49,No
Regional State Financial,2019,4,13.81,1.52,107.82,2.18,65.22,3.39,50.08,No
Metropolitan Plains Bancorp,2019,4,13.31,0.99,121.43,1.65,57.8,2.57,44.56,No
First Mountain Credit,2019,4,8.49,5.29,57.28,-0.87,100.44,0.75,78.39,Yes
Central River Trust,2019,4,13.95,2.67,125.84,1.41,98.87,3.53,55.17,No
Community Valley Credit,2019,4,3.67,9.84,64.99,-1.19,74.79,0.38,84.39,Yes
United Valley Bank,2019,4,14.01,2.68,126.51,1.97,65.93,3.14,58.21,No
Metropolitan River Financial,2019,4,12.01,3.21,117.85,1.51,69.9,3.05,49.18,No
Metropolitan Coast Bancorp,2019,4,14.56,2.81,105.69,2.77,42.59,4.08,47.13,No
National America Credit,2019,4,5.62,6.82,73.85,-1.0,98.0,1.65,85.66,Yes
Regional Mountain Bank,2019,4,10.08,2.74,125.24,1.73,77.92,2.92,47.78,No
Regional Coast Trust,2019,4,11.5,0.0,114.73,2.36,69.78,2.36,59.65,No
Central Coast Financial,2019,4,11.4,0.78,142.06,1.47,78.79,2.62,51.36,No
Central Plains Financial,2019,4,10.2,0.76,125.22,2.2,81.45,2.98,72.2,No
National America Bank,2019,4,12.54,2.57,106.42,1.69,75.2,2.96,51.88,No
Metropolitan River Bank,2019,4,10.37,2.12,121.19,1.41,76.43,2.15,51.84,No
United America Trust,2020,1,15.53,2.68,126.74,1.55,87.69,3.69,41.56,No
Central River Trust,2020,1,5.05,10.76,87.96,-2.26,84.94,0.93,58.29,Yes
Community River Credit,2020,1,6.04,10.56,55.61,-0.87,91.27,1.82,74.3,Yes
Regional Coast Credit,2020,1,15.04,1.4,127.71,2.13,68.62,2.6,53.23,No
National River Bank,2020,1,11.12,1.31,134.73,2.27,76.44,2.8,48.14,No
Central Coast Financial,2020,1,5.5,8.01,76.42,-1.03,88.11,1.38,80.33,Yes
Metropolitan Valley Financial,2020,1,9.12,0.0,122.98,1.59,74.31,2.61,51.33,No
United Valley Bancorp,2020,1,11.24,3.75,129.5,2.67,70.24,3.41,50.92,No
Central Coast Financial,2020,1,14.94,1.93,106.03,1.0,86.68,3.24,55.44,No
Central State Bank,2020,1,14.98,0.35,116.41,1.88,77.42,2.65,37.99,No
National America Bancorp,2020,1,9.58,3.15,112.57,1.72,76.34,2.65,32.95,No
Community Coast Trust,2020,1,8.84,1.94,124.97,1.9,74.3,2.19,34.55,No
Central Plains Bank,2020,1,16.51,3.23,127.69,1.67,67.62,3.0,63.14,No
United America Financial,2020,1,12.81,2.53,118.32,2.4,73.02,3.02,42.57,No
Community Valley Bancorp,2020,1,5.77,3.76,69.6,-0.91,63.93,0.88,68.24,Yes
Metropolitan Plains Credit,2020,1,13.0,2.64,115.74,2.27,75.91,2.89,65.34,No
Metropolitan Valley Financial,2020,1,10.55,3.47,117.75,1.58,66.48,2.45,57.85,No
United Coast Trust,2020,1,2.79,11.17,60.64,-0.16,100.36,1.14,74.1,Yes
United Coast Credit,2020,1,12.71,2.13,105.42,1.52,64.59,2.62,62.53,No
Regional Plains Trust,2020,1,12.01,1.22,115.09,1.75,67.12,2.46,41.86,No
First Plains Bancorp,2020,1,13.53,2.19,118.48,2.0,69.54,2.9,55.17,No
Community State Credit,2020,1,12.89,0.43,118.68,1.25,76.36,3.38,43.89,No
United Mountain Bancorp,2020,1,11.77,0.0,129.73,2.35,81.5,3.74,37.76,No
Community Coast Trust,2020,1,13.78,3.48,105.05,1.91,66.37,3.43,26.06,No
First Mountain Trust,2020,1,15.63,1.89,129.16,1.97,74.92,1.84,46.15,No
First Plains Financial,2020,1,13.7,2.29,103.63,2.03,61.81,2.55,34.79,No
United Coast Bank,2020,1,7.24,10.34,91.2,-2.47,111.51,1.42,74.19,Yes
National River Trust,2020,1,10.16,0.91,114.73,2.1,83.6,3.55,33.85,No
Regional Plains Credit,2020,1,10.42,3.3,112.69,1.97,52.95,3.58,30.87,No
United Mountain Financial,2020,1,8.71,3.05,139.2,1.85,69.53,3.45,52.89,No
First River Credit,2020,1,11.25,1.51,104.33,2.12,69.08,2.78,39.98,No
Regional River Credit,2020,1,10.2,2.62,128.82,1.84,65.68,2.57,59.37,No
First Mountain Trust,2020,1,12.06,2.37,123.58,1.85,58.35,2.5,61.28,No
Regional River Financial,2020,1,10.55,1.59,108.66,1.39,62.31,3.84,56.58,No
First America Trust,2020,1,10.95,3.08,118.48,2.68,92.12,3.51,50.95,No
Metropolitan State Trust,2020,1,13.4,2.02,101.64,1.67,60.48,2.66,67.94,No
National Mountain Trust,2020,1,14.24,2.44,128.12,1.05,77.28,3.47,27.6,No
Central River Financial,2020,1,13.53,0.58,100.3,2.66,59.93,2.64,59.9,No
United America Financial,2020,1,11.39,1.82,117.98,2.17,67.74,3.06,44.96,No
Metropolitan Valley Bancorp,2020,1,12.7,2.31,138.98,1.81,68.16,3.12,59.64,No
First Valley Bank,2020,1,3.82,7.31,44.92,-1.27,116.09,0.64,81.77,Yes
Community Coast Trust,2020,1,10.94,1.14,129.71,1.48,72.93,3.15,41.48,No
Regional Coast Bancorp,2020,1,12.31,1.07,125.22,1.34,66.6,2.87,61.13,No
First America Bank,2020,1,12.28,2.96,125.55,2.27,66.68,3.51,46.44,No
Metropolitan State Trust,2020,1,8.54,1.79,124.53,1.2,61.15,2.38,57.87,No
Central Valley Bank,2020,1,15.35,1.79,125.32,2.25,85.54,2.67,47.8,No
Community Valley Bancorp,2020,1,11.32,2.08,145.04,2.02,61.45,2.42,62.53,No
Community Valley Financial,2020,1,10.28,2.66,113.2,1.37,76.05,2.68,54.25,No
Central America Financial,2020,1,13.0,2.55,117.32,2.34,60.77,1.77,57.07,No
Central State Credit,2020,1,6.33,5.17,55.29,-3.04,100.78,1.82,78.61,Yes
National Plains Bank,2020,2,11.28,1.98,141.79,2.38,60.66,3.01,53.32,No
United River Trust,2020,2,9.89,2.76,111.82,1.24,70.76,2.96,49.99,No
Regional River Bancorp,2020,2,10.47,1.37,131.28,2.22,60.43,2.02,40.86,No
First Coast Credit,2020,2,12.31,1.37,112.9,1.71,69.27,3.39,50.0,No
Metropolitan Valley Trust,2020,2,12.12,1.78,115.01,2.45,77.42,4.02,56.11,No
Metropolitan River Bancorp,2020,2,11.0,1.1,129.53,1.59,78.1,2.62,53.49,No
National Mountain Bancorp,2020,2,9.88,2.78,107.66,2.14,68.02,3.05,46.04,No
United America Bank,2020,2,5.16,7.46,59.98,-2.01,94.62,0.8,69.95,Yes
Central Plains Financial,2020,2,13.85,1.67,117.73,1.34,90.72,4.21,42.2,No
Community State Financial,2020,2,8.45,6.72,86.04,-0.66,101.5,0.0,71.21,Yes
National Valley Trust,2020,2,12.04,2.2,107.85,1.64,75.53,2.31,51.34,No
Community Coast Trust,2020,2,8.48,8.16,73.35,-3.02,87.67,2.03,74.01,Yes
Regional State Bank,2020,2,14.53,1.39,117.22,2.26,71.01,3.19,41.82,No
Community Mountain Trust,2020,2,9.73,1.11,114.68,1.89,80.37,3.04,54.85,No
First Coast Bancorp,2020,2,12.28,0.88,120.17,2.07,77.6,2.47,29.6,No
National Mountain Bancorp,2020,2,12.35,2.35,118.21,2.01,78.79,2.77,47.21,No
National Valley Bancorp,2020,2,6.16,3.34,68.48,-1.06,124.56,0.85,82.0,Yes
Regional Mountain Credit,2020,2,13.84,1.16,133.76,2.88,69.71,2.73,66.27,No
National River Bancorp,2020,2,13.59,2.08,134.27,2.66,66.64,3.12,55.77,No
United Mountain Trust,2020,2,12.06,0.61,110.62,1.32,74.93,2.41,51.92,No
Community State Bank,2020,2,15.66,3.43,101.63,1.36,62.23,2.42,33.46,No
National Coast Financial,2020,2,11.98,2.71,129.54,1.76,67.28,3.18,48.92,No
National Mountain Bancorp,2020,2,13.62,2.43,116.24,1.07,84.99,2.66,53.58,No
National Mountain Bancorp,2020,2,8.17,1.99,121.0,2.07,100.14,2.68,58.21,No
First Valley Bancorp,2020,2,13.05,1.32,128.06,1.92,78.75,3.98,51.51,No
Central Mountain Trust,2020,2,11.44,3.05,133.97,1.56,65.47,3.34,48.68,No
Metropolitan River Bancorp,2020,2,10.09,2.54,126.71,1.83,70.61,2.71,39.05,No
United Valley Bancorp,2020,2,11.01,2.07,105.25,1.79,70.88,3.6,46.87,No
United Valley Bancorp,2020,2,9.51,1.79,114.33,2.28,66.62,1.64,86.92,No
Central Valley Bancorp,2020,2,6.28,7.27,54.59,-2.46,98.62,1.17,87.02,Yes
Central State Credit,2020,2,12.47,0.81,94.96,1.95,64.66,2.37,58.28,No
Metropolitan Plains Bank,2020,2,8.85,2.62,105.9,2.07,79.34,2.83,66.9,No
Community Valley Bancorp,2020,2,15.84,2.24,125.41,2.53,75.44,3.22,44.76,No
First Coast Credit,2020,2,2.63,2.83,93.82,-0.68,96.31,1.63,72.51,Yes
First Coast Bancorp,2020,2,13.17,2.08,124.6,1.83,60.35,2.59,42.16,No
National Mountain Bancorp,2020,2,11.99,0.44,107.53,2.07,68.72,3.1,49.55,No
United River Financial,2020,2,17.04,2.13,116.21,2.05,80.2,2.98,56.85,No
Regional Coast Bank,2020,2,12.79,1.71,121.11,2.8,72.43,2.51,46.8,No
Regional Valley Bank,2020,2,7.77,2.14,133.12,1.33,71.5,3.49,60.91,No
Community Mountain Credit,2020,2,8.56,1.4,75.05,-2.51,85.03,1.41,81.58,Yes
Community America Bank,2020,2,13.45,1.07,134.74,2.34,78.89,2.46,61.71,No
National America Financial,2020,2,11.37,1.39,126.25,2.29,61.53,4.03,68.14,No
National Plains Bank,2020,2,13.21,2.43,123.3,1.23,71.13,3.05,44.24,No
Central America Bancorp,2020,2,11.38,0.0,109.03,2.46,87.31,2.53,51.83,No
Central America Financial,2020,2,14.2,1.48,126.76,1.98,81.9,2.36,38.95,No
Community Coast Trust,2020,2,12.56,2.1,119.44,2.29,60.69,2.32,45.0,No
First America Bank,2020,2,11.22,1.72,132.69,2.39,75.33,3.11,45.66,No
Metropolitan Coast Trust,2020,2,10.29,0.8,113.05,1.98,58.45,3.08,48.06,No
National Plains Financial,2020,2,5.21,10.48,45.39,-1.38,64.71,1.12,87.62,Yes
Regional Mountain Bank,2020,2,9.3,0.78,103.02,2.03,66.59,2.86,46.32,No
Metropolitan America Financial,2020,3,10.05,3.13,122.72,1.41,62.99,2.56,64.06,No
First State Financial,2020,3,13.42,1.87,137.07,2.73,67.69,2.79,46.38,No
Central Valley Trust,2020,3,4.09,12.2,59.94,-0.13,110.36,0.85,98.1,Yes
Regional Mountain Trust,2020,3,8.88,1.92,115.11,2.48,73.54,2.14,62.39,No
Regional America Bank,2020,3,12.97,0.96,116.5,1.35,68.29,3.08,46.65,No
Central Valley Bancorp,2020,3,11.1,0.39,123.37,1.04,70.31,2.1,50.51,No
National State Bancorp,2020,3,11.99,2.4,128.62,2.52,53.9,2.97,70.11,No
Regional River Credit,2020,3,12.24,1.17,119.2,1.81,58.24,3.43,55.84,No
First Plains Credit,2020,3,9.33,1.91,114.34,1.2,55.85,2.37,49.42,No
Central Coast Financial,2020,3,11.08,1.04,116.08,2.37,73.57,3.5,47.72,No
First Valley Bank,2020,3,15.21,2.35,115.11,2.05,57.52,2.85,54.3,No
United Mountain Financial,2020,3,13.22,1.59,147.34,1.91,53.22,3.61,56.07,No
Central Plains Bank,2020,3,6.46,5.61,73.93,0.62,103.02,0.26,45.47,Yes
Central State Bank,2020,3,12.77,1.01,119.0,1.6,61.19,2.62,43.25,No
Regional America Financial,2020,3,13.55,2.57,107.92,1.46,73.79,3.53,60.37,No
Community Valley Financial,2020,3,9.99,2.99,102.24,1.9,74.87,1.96,70.93,No
First River Bancorp,2020,3,14.65,2.65,110.35,1.97,77.9,2.44,48.2,No
Metropolitan River Financial,2020,3,13.82,0.51,123.32,1.12,60.56,2.75,55.14,No
Central Mountain Bancorp,2020,3,4.6,7.38,63.13,-1.53,118.76,0.42,87.59,Yes
Central State Trust,2020,3,12.0,1.42,107.82,1.43,62.61,2.92,56.04,No
First Coast Credit,2020,3,11.4,1.77,119.16,2.24,76.45,2.31,47.18,No
Central Valley Trust,2020,3,14.45,0.68,120.74,1.91,64.33,3.8,50.37,No
Regional Mountain Financial,2020,3,15.02,2.01,124.6,1.71,64.34,3.2,54.28,No
National River Bancorp,2020,3,13.2,2.38,106.64,1.6,78.5,2.02,52.93,No
First Plains Trust,2020,3,11.78,2.85,124.17,1.67,62.91,2.74,55.8,No
First Coast Credit,2020,3,7.4,2.16,111.17,2.1,73.44,2.17,47.73,No
Central Coast Financial,2020,3,12.31,2.09,118.78,1.39,59.31,2.31,55.54,No
Regional River Financial,2020,3,11.77,1.95,102.95,1.98,76.34,2.08,44.65,No
Metropolitan State Credit,2020,3,8.86,1.58,110.99,2.19,71.69,3.65,49.46,No
Central Mountain Financial,2020,3,12.68,1.44,108.97,2.42,82.43,3.35,51.31,No
National River Bancorp,2020,3,10.05,3.14,125.8,3.01,58.46,3.43,55.49,No
Community Coast Bank,2020,3,11.32,3.36,124.02,1.53,68.82,2.53,45.31,No
United River Credit,2020,3,13.41,2.99,122.21,1.62,73.82,3.36,30.28,No
First State Bancorp,2020,3,12.23,1.81,129.54,2.19,74.84,2.76,50.02,No
Central Valley Credit,2020,3,13.89,1.94,121.75,1.23,69.31,1.99,44.84,No
United River Financial,2020,3,12.13,2.77,110.01,2.19,84.68,2.68,34.53,No
Regional Mountain Bancorp,2020,3,12.58,0.81,111.81,2.46,88.77,2.5,42.63,No
United Mountain Trust,2020,3,5.12,5.36,89.33,-1.53,94.18,1.81,85.77,Yes
Regional River Bancorp,2020,3,13.97,1.09,114.7,1.48,78.01,3.61,44.0,No
National America Bank,2020,3,11.27,1.68,104.53,1.66,77.73,2.56,50.93,No
Central America Financial,2020,3,9.38,1.86,114.37,1.39,77.9,3.42,40.3,No
National State Bank,2020,3,11.57,2.04,101.85,1.3,82.86,2.47,62.58,No
Regional Plains Bank,2020,3,9.31,2.66,116.89,1.91,88.56,2.37,55.95,No
First River Bancorp,2020,3,13.11,5.35,109.23,1.69,78.16,2.9,45.37,No
National Valley Bancorp,2020,3,13.92,1.73,111.08,2.36,73.75,2.84,46.4,No
First Mountain Credit,2020,3,10.17,2.73,116.4,1.62,57.14,3.2,44.91,No
First State Credit,2020,3,7.97,0.8,117.66,1.9,67.56,2.81,35.24,No
Metropolitan Coast Financial,2020,3,10.25,3.18,130.36,2.29,74.9,3.45,38.79,No
National River Credit,2020,3,6.07,3.64,58.97,-0.63,114.2,0.9,96.49,Yes
Metropolitan River Trust,2020,3,12.42,1.22,109.13,2.51,71.28,3.34,23.42,No
National Coast Bancorp,2020,4,12.49,1.49,106.06,1.97,80.92,4.13,52.42,No
Metropolitan Mountain Bank,2020,4,10.58,1.23,129.63,1.5,76.22,3.15,51.83,No
Metropolitan Plains Credit,2020,4,8.86,1.64,105.42,1.71,79.17,3.62,52.14,No
National State Bank,2020,4,10.86,3.59,114.16,1.43,76.96,3.23,44.57,No
United Plains Bank,2020,4,12.2,2.44,122.04,2.23,64.94,3.26,50.18,No
United Valley Bank,2020,4,11.06,1.75,119.02,1.28,63.63,3.03,36.49,No
Metropolitan Valley Bank,2020,4,10.76,4.38,108.71,1.81,61.66,2.94,41.85,No
National Plains Financial,2020,4,11.51,1.28,130.55,2.04,59.97,3.42,40.42,No
First Plains Bancorp,2020,4,8.87,2.0,139.07,1.09,56.69,3.38,43.58,No
Regional Valley Trust,2020,4,13.22,1.16,121.42,2.87,58.05,3.51,56.8,No
First Mountain Financial,2020,4,9.02,2.56,120.73,2.05,73.37,2.82,50.7,No
Metropolitan America Financial,2020,4,6.48,9.24,54.73,0.29,82.67,1.38,80.79,Yes
National State Trust,2020,4,9.44,2.53,110.55,2.53,62.89,2.25,65.34,No
Regional River Financial,2020,4,12.36,2.87,111.49,1.05,86.75,3.0,54.91,No
United River Trust,2020,4,13.31,1.66,122.26,2.8,69.68,3.47,30.09,No
Regional State Trust,2020,4,14.25,0.48,130.09,2.2,69.04,2.95,47.47,No
Regional Plains Financial,2020,4,10.36,1.79,142.08,2.65,61.29,3.13,50.96,No
Central Coast Credit,2020,4,11.72,1.0,124.46,2.42,61.66,3.98,65.22,No
Community State Financial,2020,4,13.1,0.77,124.01,2.14,75.13,3.8,48.24,No
Central State Bancorp,2020,4,16.1,2.41,117.1,3.2,78.3,2.77,50.84,No
First State Trust,2020,4,13.27,1.85,121.34,1.59,53.15,3.05,51.4,No
Metropolitan America Credit,2020,4,13.05,1.42,106.59,1.52,80.56,2.67,45.58,No
National Plains Bank,2020,4,5.38,5.14,63.07,-1.87,121.01,1.34,92.48,Yes
United Coast Financial,2020,4,14.9,0.0,123.43,1.71,81.17,2.63,39.46,No
First River Bancorp,2020,4,3.13,6.09,79.15,-0.74,81.96,2.08,86.5,Yes
Community Valley Bank,2020,4,13.55,3.29,103.6,1.54,78.23,2.59,47.25,No
United Mountain Bancorp,2020,4,11.84,0.72,116.39,2.46,77.29,3.56,60.1,No
National River Trust,2020,4,12.81,2.33,122.53,1.69,59.7,2.66,46.74,No
Metropolitan America Financial,2020,4,4.69,8.24,72.02,-0.69,105.27,1.6,79.91,Yes
Regional America Bank,2020,4,14.02,2.52,131.3,2.81,75.77,3.05,50.97,No
Regional Coast Financial,2020,4,11.06,1.5,129.02,1.52,86.15,2.92,78.62,No
Metropolitan River Financial,2020,4,10.61,2.25,116.48,1.6,80.64,2.45,43.24,No
National State Bank,2020,4,13.17,2.74,106.08,2.29,71.29,2.54,42.11,No
United Coast Bancorp,2020,4,1.93,12.15,80.15,-2.29,111.98,0.71,89.15,Yes
Community Coast Credit,2020,4,11.01,1.64,117.12,1.67,83.99,3.45,51.1,No
Community State Credit,2020,4,14.05,0.37,107.72,2.24,77.36,3.14,31.17,No
Metropolitan Valley Bank,2020,4,9.88,2.42,144.26,2.61,85.77,3.17,53.32,No
Community America Bancorp,2020,4,9.93,2.95,119.27,2.35,70.31,3.14,49.12,No
Central Coast Credit,2020,4,12.45,3.0,107.34,1.25,74.26,3.72,66.93,No
National Plains Bancorp,2020,4,9.55,1.6,105.21,1.72,81.23,2.99,46.26,No
Community State Bancorp,2020,4,13.09,1.2,135.93,2.0,65.98,3.29,59.39,No
Central Valley Bank,2020,4,15.19,1.79,130.86,2.05,63.89,2.61,39.03,No
Community Mountain Trust,2020,4,10.52,3.12,127.07,1.38,52.54,2.44,42.23,No
Metropolitan America Bancorp,2020,4,11.39,3.17,114.52,2.84,53.2,2.83,57.86,No
First Plains Financial,2020,4,13.69,1.66,130.02,2.41,63.18,3.16,57.04,No
First Plains Financial,2020,4,10.78,3.69,111.65,2.07,57.5,3.05,39.33,No
United Coast Bank,2020,4,11.41,0.41,128.0,2.18,80.87,2.83,61.34,No
United Mountain Bancorp,2020,4,12.08,2.11,141.14,1.76,82.27,3.24,44.28,No
Regional State Trust,2020,4,9.37,0.97,131.31,2.87,70.91,3.07,57.76,No
National State Trust,2020,4,12.15,3.1,122.92,2.07,63.01,2.53,18.41,No
United River Financial,2021,1,8.47,6.56,66.0,-2.95,90.4,0.61,72.05,Yes
Regional Plains Financial,2021,1,12.67,2.12,106.39,1.35,57.0,3.91,64.93,No
First Mountain Credit,2021,1,10.3,0.02,121.28,2.02,73.17,3.37,54.52,No
Metropolitan River Credit,2021,1,9.77,2.29,128.54,1.64,73.0,2.72,69.96,No
Central America Trust,2021,1,9.35,3.16,103.29,2.9,58.58,3.09,33.71,No
National State Bancorp,2021,1,9.3,2.9,130.28,2.12,77.41,3.52,43.16,No
National Coast Credit,2021,1,3.2,6.96,64.23,-0.61,108.22,0.66,87.04,Yes
Community Valley Bancorp,2021,1,13.31,2.72,115.92,2.39,75.2,3.32,66.78,No
First State Credit,2021,1,12.66,1.39,108.9,2.56,73.57,3.84,29.7,No
United America Bank,2021,1,13.82,1.74,116.46,1.62,79.0,3.31,38.58,No
First Plains Financial,2021,1,6.33,9.12,71.78,0.11,95.65,0.0,81.87,Yes
United Plains Credit,2021,1,12.36,2.31,131.07,1.02,67.62,2.54,37.92,No
Community Plains Financial,2021,1,11.86,2.7,123.01,1.66,68.55,3.46,56.83,No
Metropolitan Mountain Trust,2021,1,10.89,1.38,102.84,1.79,52.64,4.03,41.45,No
Metropolitan State Bank,2021,1,8.22,12.45,72.16,-1.1,80.16,0.75,96.04,Yes
Central Coast Bancorp,2021,1,12.7,2.03,133.12,2.35,68.52,3.11,42.32,No
National Plains Bancorp,2021,1,10.88,1.79,125.57,1.38,70.76,2.81,40.99,No
Community State Trust,2021,1,11.23,0.0,112.42,1.45,67.2,1.86,51.91,No
Regional Plains Financial,2021,1,13.82,1.88,124.99,1.74,54.45,3.0,56.8,No
Metropolitan Coast Bancorp,2021,1,9.35,1.53,117.53,3.43,72.23,2.05,28.47,No
United Plains Bancorp,2021,1,7.46,14.46,67.19,-1.34,106.46,0.6,54.56,Yes
National Coast Bancorp,2021,1,14.07,1.39,130.5,1.62,71.22,3.43,60.7,No
Central Plains Financial,2021,1,12.47,2.18,126.2,2.23,57.09,2.36,28.91,No
Community Valley Bancorp,2021,1,13.53,1.6,128.2,2.2,59.98,2.94,45.45,No
Community Mountain Trust,2021,1,10.78,2.92,145.11,2.56,69.73,3.63,67.13,No
National Mountain Bancorp,2021,1,9.22,3.22,127.7,2.59,78.13,2.89,70.33,No
Regional America Bancorp,2021,1,12.68,1.57,125.06,2.49,70.95,3.2,50.88,No
United Coast Financial,2021,1,10.68,1.18,105.97,2.76,67.77,1.29,53.97,No
Metropolitan Coast Bancorp,2021,1,12.75,0.13,111.68,1.56,62.58,3.61,48.51,No
Central Coast Bank,2021,1,11.15,3.12,124.95,1.13,63.83,3.16,40.66,No
Metropolitan State Trust,2021,1,16.06,2.11,112.47,1.44,79.28,2.68,53.8,No
Central Mountain Trust,2021,1,9.7,2.07,113.64,1.84,62.04,3.51,45.09,No
Metropolitan Valley Bank,2021,1,11.71,1.9,136.12,2.45,77.91,2.21,43.44,No
Metropolitan State Bank,2021,1,14.38,0.83,120.84,1.47,60.35,3.84,57.19,No
